zip,county
06001,Hartford
06002,Hartford
06006,Hartford
06010,Hartford
06011,Hartford
06013,Hartford
06016,Hartford
06018,Litchfield
06019,Hartford
06020,Hartford
06021,Litchfield
06022,Hartford
06023,Hartford
06024,Litchfield
06025,Hartford
06026,Hartford
06027,Hartford
06028,Hartford
06029,Tolland
06030,Hartford
06031,Litchfield
06032,Hartford
06033,Hartford
06034,Hartford
06035,Hartford
06037,Hartford
06039,Litchfield
06040,Hartford
06041,Hartford
06042,Hartford
06043,Tolland
06045,Hartford
06050,Hartford
06051,Hartford
06052,Hartford
06053,Hartford
06057,Litchfield
06058,Litchfield
06059,Hartford
06060,Hartford
06061,Litchfield
06062,Hartford
06063,Litchfield
06064,Hartford
06065,Litchfield
06066,Tolland
06067,Hartford
06068,Litchfield
06069,Litchfield
06070,Hartford
06071,Tolland
06072,Tolland
06073,Hartford
06074,Hartford
06075,Tolland
06076,Tolland
06077,Tolland
06078,Hartford
06079,Litchfield
06080,Hartford
06081,Hartford
06082,Hartford
06083,Hartford
06084,Tolland
06085,Hartford
06087,Hartford
06088,Hartford
06089,Hartford
06090,Hartford
06091,Hartford
06092,Hartford
06093,Hartford
06094,Litchfield
06095,Hartford
06096,Hartford
06098,Litchfield
06101,Hartford
06102,Hartford
06103,Hartford
06104,Hartford
06105,Hartford
06106,Hartford
06107,Hartford
06108,Hartford
06109,Hartford
06110,Hartford
06111,Hartford
06112,Hartford
06114,Hartford
06115,Hartford
06117,Hartford
06118,Hartford
06119,Hartford
06120,Hartford
06123,Hartford
06126,Hartford
06127,Hartford
06128,Hartford
06129,Hartford
06131,Hartford
06132,Hartford
06133,Hartford
06134,Hartford
06137,Hartford
06138,Hartford
06140,Hartford
06141,Hartford
06142,Hartford
06143,Hartford
06144,Hartford
06145,Hartford
06146,Hartford
06147,Hartford
06150,Hartford
06151,Hartford
06152,Hartford
06153,Hartford
06154,Hartford
06155,Hartford
06156,Hartford
06160,Hartford
06161,Hartford
06167,Hartford
06176,Hartford
06180,Hartford
06183,Hartford
06199,Hartford
06226,Windham
06230,Windham
06231,Tolland
06232,Tolland
06233,Windham
06234,Windham
06235,Windham
06237,Tolland
06238,Tolland
06239,Windham
06241,Windham
06242,Windham
06243,Windham
06244,Windham
06245,Windham
06246,Windham
06247,Windham
06248,Tolland
06249,New London
06250,Tolland
06251,Tolland
06254,New London
06255,Windham
06256,Windham
06258,Windham
06259,Windham
06260,Windham
06262,Windham
06263,Windham
06264,Windham
06265,Tolland
06266,Windham
06267,Windham
06268,Tolland
06269,Tolland
